,system,doc,doc_id,seg_id,rater,src,mt,ref,score,zscore
4185,metricsystem5,latimes.591189,12,322,rater4,The two firefighters injured in the Gold fire have been released from the hospital.,"Die beiden Feuerwehrleute, die beim Gold-Feuer verletzt wurden, wurden aus dem Krankenhaus entlassen.","Die beiden Feuerwehrleute, die beim Gold-Feuer verletzt wurden, konnten das Krankenhaus mittlerweile verlassen.",0,0.6974998059806357
4186,Facebook-AI,metro.co.uk.47971,1,323,rater7,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba gibt einen Hinweis auf seine Zukunft, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,-5,0.008792842781019128
4187,HuaweiTSC,metro.co.uk.47971,1,323,rater7,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba gibt einen Hinweis auf seine Zukunft, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,-6,-0.1963734887760946
4188,Nemo,metro.co.uk.47971,1,323,rater1,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt Andeutungen über seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.31342974724568423
4189,Online-W,metro.co.uk.47971,1,323,rater13,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt Andeutungen über seine Zukunft fallen, nachdem Man Utd einen Champions League Platz erreicht hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.9384013881445971
4190,UEdin,metro.co.uk.47971,1,323,rater1,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt Andeutungen über seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.31342974724568423
4191,VolcTrans-AT,metro.co.uk.47971,1,323,rater2,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt Hinweis auf seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.5824308458428316
4192,VolcTrans-GLAT,metro.co.uk.47971,1,323,rater4,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt Andeutungen über seine Zukunft fallen, nachdem Man Utd einen Platz in der Champions League gewonnen hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,-1,0.282723265292386
4193,eTranslation,metro.co.uk.47971,1,323,rater1,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba gibt einen Hinweis auf seine Zukunft, nachdem Man Utd den Champions-League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.31342974724568423
4194,metricsystem1,metro.co.uk.47971,1,323,rater9,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt einen Hinweis auf seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz gewonnen hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,-1,0.4109228254705306
4195,metricsystem2,metro.co.uk.47971,1,323,rater1,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt einen Hinweis auf seine Zukunft fallen, nachdem Man Utd den Champions League-Platz besiegelt hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.31342974724568423
4196,metricsystem3,metro.co.uk.47971,1,323,rater6,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt einen Hinweis auf seine Zukunft fallen, nachdem Man Utd die Champions League gewonnen hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.6319180223880377
4197,metricsystem4,metro.co.uk.47971,1,323,rater6,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt einen Hinweis auf seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz gewonnen hat",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,0,0.6319180223880377
4198,metricsystem5,metro.co.uk.47971,1,323,rater6,Paul Pogba drops hint over his future after Man Utd seal Champions League spot,"Paul Pogba lässt einen Hinweis auf seine Zukunft fallen, nachdem Man Utd den Champions-League-Platz besiegelt hat.",Paul Pogba macht Andeutung über seine Zukunft nach Qualifizierung von Manchester United für Champions League,-0.1,0.5427827172667241
4199,Facebook-AI,metro.co.uk.47971,2,324,rater7,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Der Star von Manchester United, Paul Pogba, hat angedeutet, dass er in diesem Sommer im Verein bleiben wird, nachdem die Red Devils einen Platz unter den ersten Vier gesichert haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-1,0.829458169009474
4200,HuaweiTSC,metro.co.uk.47971,2,324,rater7,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat vorgeschlagen, diesen Sommer bei dem Verein zu bleiben, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-12,-1.4273714781187767
4201,Nemo,metro.co.uk.47971,2,324,rater1,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat angedeutet, dass er in diesem Sommer im Club bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.31342974724568423
4202,Online-W,metro.co.uk.47971,2,324,rater13,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Der Star von Manchester United, Paul Pogba, hat angedeutet, dass er im Sommer beim Verein bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier Mannschaften sicherten.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-5,-0.27298668897020095
4203,UEdin,metro.co.uk.47971,2,324,rater1,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat vorgeschlagen, dass er diesen Sommer im Club bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.31342974724568423
4204,VolcTrans-AT,metro.co.uk.47971,2,324,rater2,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Paul Pogba, Star von Manchester United, hat angedeutet, dass er diesen Sommer im Verein bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.5824308458428316
4205,VolcTrans-GLAT,metro.co.uk.47971,2,324,rater4,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat angedeutet, dass er in diesem Sommer beim Verein bleiben wird, nachdem die Red Devils einen Platz in den Top vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-1,0.282723265292386
4206,eTranslation,metro.co.uk.47971,2,324,rater1,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat vorgeschlagen, dass er in diesem Sommer beim Club bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.31342974724568423
4207,metricsystem1,metro.co.uk.47971,2,324,rater9,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Der Star von Manchester United, Paul Pogba, hat vorgeschlagen, diesen Sommer im Verein zu bleiben, nachdem die Red Devils einen Platz unter den ersten vier gesichert haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-1,0.4109228254705306
4208,metricsystem2,metro.co.uk.47971,2,324,rater1,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat vorgeschlagen, diesen Sommer im Club zu bleiben, nachdem die Red Devils einen Platz unter den ersten vier errungen haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.31342974724568423
4209,metricsystem3,metro.co.uk.47971,2,324,rater6,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Manchester United-Star Paul Pogba hat vorgeschlagen, diesen Sommer im Club zu bleiben, nachdem sich die Red Devils einen Platz unter den ersten Vier gesichert haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",0,0.6319180223880377
4210,metricsystem4,metro.co.uk.47971,2,324,rater6,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Der Star von Manchester United, Paul Pogba, hat vorgeschlagen, diesen Sommer im Verein zu bleiben, nachdem die Red Devils einen Platz unter den ersten vier gesichert hatten.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-2,-1.1507880800382353
4211,metricsystem5,metro.co.uk.47971,2,324,rater6,Manchester United star Paul Pogba has suggested he will stay at the club this summer after the Red Devils sealed a place in the top four.,"Der Star von Manchester United, Paul Pogba, hat vorgeschlagen, dass er in diesem Sommer im Verein bleiben wird, nachdem die Red Devils einen Platz unter den ersten vier besiegelt haben.","Manchester United-Star Paul Pogba legte nahe, dass er diesen Sommer bei seinem Club bleiben werde, nachdem sich die Roten Teufel einen Platz unter den ersten vier Teams sichern konnten.",-1,-0.25943502882509867
4212,Facebook-AI,metro.co.uk.47971,3,325,rater7,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2:0-Sieg gegen Leicester bedeutete, dass United Dritter wurde, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",-1,0.829458169009474
4213,HuaweiTSC,metro.co.uk.47971,3,325,rater7,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.",Mit einem 2:0-Sieg gegen Leicester belegte United den dritten Platz vor Frank Lampards Chelsea.,"Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",-1,0.829458169009474
4214,Nemo,metro.co.uk.47971,3,325,rater1,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Durch einen 2: 0-Sieg gegen Leicester wurde United Dritter, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.31342974724568423
4215,Online-W,metro.co.uk.47971,3,325,rater13,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.",Mit einem 2:0-Sieg gegen Leicester sicherte sich United den dritten Platz vor Frank Lampards Chelsea.,"Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.9384013881445971
4216,UEdin,metro.co.uk.47971,3,325,rater1,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2:0-Sieg gegen Leicester bedeutete, dass United Dritter wurde, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.31342974724568423
4217,VolcTrans-AT,metro.co.uk.47971,3,325,rater2,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2: 0-Sieg gegen Leicester bedeutete, dass United den dritten Platz belegte, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",-5,-0.4912638012877214
4218,VolcTrans-GLAT,metro.co.uk.47971,3,325,rater4,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.",Ein 2:0-Sieg gegen Leicester bedeutete für United den dritten Platz vor Frank Lampard's Chelsea.,"Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.6974998059806357
4219,eTranslation,metro.co.uk.47971,3,325,rater1,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2:0-Sieg gegen Leicester bedeutete, dass United Dritter wurde, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.31342974724568423
4220,metricsystem1,metro.co.uk.47971,3,325,rater9,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2:0-Sieg gegen Leicester bedeutete, dass United den dritten Platz vor Frank Lampards Chelsea belegte.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.7803292763959668
4221,metricsystem2,metro.co.uk.47971,3,325,rater1,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2: 0-Sieg gegen Leicester bedeutete, dass United vor Frank Lampards Chelsea Dritter wurde.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.31342974724568423
4222,metricsystem3,metro.co.uk.47971,3,325,rater6,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2: 0-Sieg gegen Leicester bedeutete, dass United vor Frank Lampards Chelsea Dritter wurde.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.6319180223880377
4223,metricsystem4,metro.co.uk.47971,3,325,rater6,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2:0-Sieg gegen Leicester bedeutete, dass United den dritten Platz vor Frank Lampards Chelsea belegte.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.6319180223880377
4224,metricsystem5,metro.co.uk.47971,3,325,rater6,"A 2-0 win against Leicester meant United finished in third, ahead of Frank Lampard's Chelsea.","Ein 2: 0-Sieg gegen Leicester bedeutete, dass United den dritten Platz belegte, vor Frank Lampards Chelsea.","Ein 2-zu-0-Sieg gegen Leicester bedeutete für den Verein den dritten Platz, noch vor Chelsea unter der Fittiche von Frank Lampard.",0,0.6319180223880377
4225,Facebook-AI,metro.co.uk.47971,4,326,rater7,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"Vor nur 12 Spielen lag United 14 Punkte hinter Leicester, aber eine sensationelle Form führte dazu, dass die Red Devils unter den ersten Vier landeten.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-2,0.6242918374523603
4226,HuaweiTSC,metro.co.uk.47971,4,326,rater7,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United lag vor nur 12 Spielen 14 Punkte vor Leicester, aber nach einem sensationellen Formlauf landeten die Red Devils unter den ersten vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-2,0.6242918374523603
4227,Nemo,metro.co.uk.47971,4,326,rater1,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United hatte vor nur 12 Spielen 14 Punkte Rückstand auf Leicester, aber ein sensationeller Formlauf brachte die Red Devils unter die ersten vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.31342974724568423
4228,Online-W,metro.co.uk.47971,4,326,rater13,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"Noch vor 12 Spielen hatte United 14 Punkte Rückstand auf Leicester, doch dank einer sensationellen Formkurve schafften die Red Devils den Sprung unter die ersten Vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.9384013881445971
4229,UEdin,metro.co.uk.47971,4,326,rater1,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United war vor nur 12 Spielen 14 Punkte von Leicester entfernt, aber ein sensationeller Formlauf sorgte dafür, dass die Red Devils unter den ersten vier landeten.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.31342974724568423
4230,VolcTrans-AT,metro.co.uk.47971,4,326,rater2,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United lag noch vor 12 Spielen 14 Punkte vor Leicester, doch mit einem sensationellen Formlauf landeten die Red Devils unter den ersten vier Plätzen.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-5,-0.4912638012877214
4231,VolcTrans-GLAT,metro.co.uk.47971,4,326,rater4,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"Noch vor 12 Spielen hatte United 14 Punkte Rückstand auf Leicester, doch eine sensationelle Formkurve sorgte dafür, dass die Red Devils am Ende unter den ersten Vier landeten.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-1,0.282723265292386
4232,eTranslation,metro.co.uk.47971,4,326,rater1,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United lag vor nur 12 Spielen 14 Punkte vor Leicester, aber ein sensationeller Formlauf brachte die Red Devils unter die ersten vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.31342974724568423
4233,metricsystem1,metro.co.uk.47971,4,326,rater9,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United lag vor gerade einmal 12 Spielen 14 Punkte hinter Leicester, aber eine sensationelle Formation führte dazu, dass die Red Devils unter den ersten vier landeten.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.7803292763959668
4234,metricsystem2,metro.co.uk.47971,4,326,rater1,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United war vor 12 Spielen 14 Punkte vor Leicester, aber in einem sensationellen Lauf der Form landeten die Red Devils unter den ersten vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.31342974724568423
4235,metricsystem3,metro.co.uk.47971,4,326,rater6,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United hatte vor zwölf Spielen nur 14 Punkte Vorsprung auf Leicester, doch nach einer sensationellen Form gelang es den Red Devils, unter die ersten vier zu kommen.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",0,0.6319180223880377
4236,metricsystem4,metro.co.uk.47971,4,326,rater6,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United lag vor nur 12 Spielen 14 Punkte hinter Leicester, aber eine sensationelle Form brachte die Red Devils unter die ersten vier.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-1,-0.25943502882509867
4237,metricsystem5,metro.co.uk.47971,4,326,rater6,United were 14 points off Leicester just 12 matches ago but a sensational run of form saw the Red Devils finish in the top four.,"United hatte erst vor 12 Spielen 14 Punkte Rückstand auf Leicester, aber ein sensationeller Formlauf sah die Red Devils unter den ersten vier abschließen.","United lag vor 12 Begegnungen noch 14 Punkte hinter Leicester, doch liefen die Roten Teufel danach zu sensationeller Hochform auf und erkämpften sich einen Platz unter den vier bestplatzierten Teams.",-2,-1.1507880800382353
4238,Facebook-AI,metro.co.uk.47971,5,327,rater7,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es war erwartet worden, dass Pogba den Verein in diesem Sommer verlassen würde, nachdem er in den letzten zwei Jahren zweimal um einen Wechsel gebeten hatte.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,1.0346245005665877
4239,HuaweiTSC,metro.co.uk.47971,5,327,rater7,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Man hatte erwartet, dass Pogba den Verein in diesem Sommer verlassen würde, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",-2,0.6242918374523603
4240,Nemo,metro.co.uk.47971,5,327,rater1,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es war erwartet worden, dass Pogba den Verein in diesem Sommer verlässt, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.31342974724568423
4241,Online-W,metro.co.uk.47971,5,327,rater13,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es wurde erwartet, dass Pogba den Verein in diesem Sommer verlassen würde, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.9384013881445971
4242,UEdin,metro.co.uk.47971,5,327,rater1,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Pogba war erwartet worden, den Verein in diesem Sommer zu verlassen, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.31342974724568423
4243,VolcTrans-AT,metro.co.uk.47971,5,327,rater2,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es wurde erwartet, dass Pogba den Verein in diesem Sommer verlassen würde, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.5824308458428316
4244,VolcTrans-GLAT,metro.co.uk.47971,5,327,rater4,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es war erwartet worden, dass Pogba den Verein in diesem Sommer verlassen würde, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.6974998059806357
4245,eTranslation,metro.co.uk.47971,5,327,rater1,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Pogba war erwartet worden, den Verein in diesem Sommer zu verlassen, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",-5,-2.80586510468085
4246,metricsystem1,metro.co.uk.47971,5,327,rater9,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es wurde erwartet, dass Pogba den Verein diesen Sommer verlassen wird, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, ihn zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.7803292763959668
4247,metricsystem2,metro.co.uk.47971,5,327,rater1,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es wurde erwartet, dass Pogba diesen Sommer den Verein verlässt, nachdem er in den letzten zwei Jahren zweimal darum gebeten hatte, den Verein zu verlassen.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",0,0.31342974724568423
4248,metricsystem3,metro.co.uk.47971,5,327,rater6,Pogba had been expected to leave the club this summer after twice requesting to leave in the last two years.,"Es wurde erwartet, dass Pogba diesen Sommer den Verein verlässt, nachdem er in den letzten zwei Jahren zweimal um eine Ausreise gebeten hatte.","Alles wies darauf hin, dass Pogba den Club diesen Sommer verlassen würde, nachdem er in den letzten zwei Jahren zwei Mal darum bat, seinen Hut nehmen zu dürfen.",-1,-0.25943502882509867
